date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation
"2018-12-18 16:00:00 MST",1545174000,91.73,99.7,SW,23,5,,64,-7.3,-1.3,-3,,,,,,,
"2018-12-18 15:00:00 MST",1545170400,91.67,99.7,S,18,5,,65,-6.3,-0.5,-2,,,4,,,,
"2018-12-18 14:00:00 MST",1545166800,91.67,99.6,S,17,5,,51,-6.5,2.7,,,,4,,,,
"2018-12-18 13:00:00 MST",1545163200,91.66,99.6,SE,13,2,,50,-6.4,2.9,,,,3.9,,,,
"2018-12-18 12:00:00 MST",1545159600,91.75,99.7,,,0,,59,-6.6,0.5,,,,4.1,,,,
"2018-12-18 11:00:00 MST",1545156000,91.74,99.7,SW,22,7,,64,-6.9,-0.9,-3,,,4.2,,,,
"2018-12-18 10:00:00 MST",1545152400,91.73,99.8,WSW,26,5,,75,-8,-4.3,-6,,,4.1,,,,
"2018-12-18 09:00:00 MST",1545148800,91.75,99.8,W,28,7,,77,-7.8,-4.4,-8,,,3.6,,,,
"2018-12-18 08:00:00 MST",1545145200,91.73,99.8,SSW,21,4,,81,-7.6,-4.8,-7,,,3.2,,,,
"2018-12-18 07:00:00 MST",1545141600,91.73,99.7,SSW,21,3,,77,-7.4,-4,-5,,,2.9,,,,
"2018-12-18 06:00:00 MST",1545138000,91.79,99.8,WSW,26,2,,73,-7,-2.8,-4,,,2.8,,,,
"2018-12-18 05:00:00 MST",1545134400,91.83,99.8,SW,23,4,,73,-8.7,-4.6,-6,,,2.7,,,,
"2018-12-18 04:00:00 MST",1545130800,91.92,99.9,WSW,26,3,,74,-9.4,-5.4,-7,,,2.9,,,,
"2018-12-18 03:00:00 MST",1545127200,91.95,100,S,19,7,,67,-9.2,-3.9,-7,,,3,,,,
"2018-12-18 02:00:00 MST",1545123600,92.03,100.1,SSE,17,5,,75,-8.8,-5,-7,,,3.1,,,,
"2018-12-18 01:00:00 MST",1545120000,92.15,100.2,SSW,20,5,,84,-8.5,-6.2,-9,,,3.1,,,,
"2018-12-18 00:00:00 MST",1545116400,92.23,100.3,SW,22,6,,81,-8.9,-6.1,-9,,,3.2,,,,
"2018-12-17 23:00:00 MST",1545112800,92.29,100.4,SSW,21,5,,81,-8.2,-5.4,-8,,,3.4,,,,
