T,TM,Tm,SLP,H,visi,V,CO,NO_2,O_3,PM.2.5,PM10,SO_2
7.4,9.8,4.8,1017.6,93,0.5,4.3,0.370000005,58.40000153,34.52999878,219.7208333,105,6.340000153
7.8,12.7,4.4,1018.5,87,0.6,4.4,0.340000004,56.25,42.15999985,182.1875,100.5999985,8.109999657
7.6,15.7,2.7,1017.4,80,0.6,0.9,0.280000001,50.65999985,46.31000137,115.2875,100.0999985,7.849999905
6.6,12.6,1.9,1018.5,87,0.6,2.8,0.469999999,69.79000092,40.65000153,12.37916667,69.77999878,6.460000038
6.7,13.4,2.4,1019.4,82,0.6,4.8,0.389999986,22.82999992,66.30999756,154.0375,75.18000031,8.800000191
8.6,15.5,3.3,1018.7,72,0.8,8.1,0.629999995,66.26000214,33.5,223.2083333,122.6999969,6.360000134
12.4,20.9,4.4,1017.3,61,1.3,8.7,0.280000001,35.79999924,68.25,200.6458333,124.9000015,5.230000019
13.8,21.1,6.8,1015.5,58,1.6,12,0.670000017,74.83000183,26.40999985,154.875,113,11.60999966
14.9,22.7,7.7,1016.1,59,1.6,9.3,0.409999996,33.20999908,62.29999924,129.3875,125.3000031,10.86999989
15,25.2,7.7,1015.9,73,1.1,3.7,0.170000002,24.12999916,46.20000076,224.2458333,95.58999634,3.890000105
16,25.2,10,1013.2,79,0.6,4.8,0.379999995,40.90000153,51.45000076,285.225,109.1999969,14.35999966
13.4,21,9.2,1015.1,87,0.5,1.5,0.170000002,30.62999916,59.83000183,236.825,136.6000061,3.930000067
14.3,22.6,6.6,1016.3,76,0.8,0.4,0.180000007,30.92000008,69.56999969,276.9083333,109.8000031,6.739999771
16.3,24.1,12.5,1015.7,84,0.8,5.4,0.239999995,33.86999893,45.11999893,218.6708333,94.84999847,2.109999895
13.5,16.4,11.3,1015.3,94,1.6,7.6,0.25,13.97000027,68.48000336,47.825,72.95999908,5.980000019
12.7,18.9,7.3,1021.2,76,1.8,6.1,0.170000002,28.97999954,48.29000092,108,137.6999969,7.730000019
