Temp,TM,Tm,SLP,H,VS,V,CO,NO2,O3,SO2,PM10,PM25
7.4,9.8,4.8,1017.6,93,0.5,4.3,0.370000005,58.40000153,34.52999878,6.340000153,105,219.7208333
7.8,12.7,4.4,1018.5,87,0.6,4.4,0.340000004,56.25,42.15999985,8.109999657,100.5999985,182.1875
7.6,15.7,2.7,1017.4,80,0.6,0.9,0.280000001,50.65999985,46.31000137,7.849999905,100.0999985,115.2875
6.6,12.6,1.9,1018.5,87,0.6,2.8,0.469999999,69.79000092,40.65000153,6.460000038,69.77999878,12.37916667
6.7,13.4,2.4,1019.4,82,0.6,4.8,0.389999986,22.82999992,66.30999756,8.800000191,75.18000031,154.0375
8.6,15.5,3.3,1018.7,72,0.8,8.1,0.629999995,66.26000214,33.5,6.360000134,122.6999969,223.2083333
12.4,20.9,4.4,1017.3,61,1.3,8.7,0.280000001,35.79999924,68.25,5.230000019,124.9000015,200.6458333
13.8,21.1,6.8,1015.5,58,1.6,12,0.670000017,74.83000183,26.40999985,11.60999966,113,154.875
14.9,22.7,7.7,1016.1,59,1.6,9.3,0.409999996,33.20999908,62.29999924,10.86999989,125.3000031,129.3875
15,25.2,7.7,1015.9,73,1.1,3.7,0.170000002,24.12999916,46.20000076,3.890000105,95.58999634,224.2458333
16,25.2,10,1013.2,79,0.6,4.8,0.379999995,40.90000153,51.45000076,14.35999966,109.1999969,285.225
13.4,21,9.2,1015.1,87,0.5,1.5,0.170000002,30.62999916,59.83000183,3.930000067,136.6000061,236.825
14.3,22.6,6.6,1016.3,76,0.8,0.4,0.180000007,30.92000008,69.56999969,6.739999771,109.8000031,276.9083333
16.3,24.1,12.5,1015.7,84,0.8,5.4,0.239999995,33.86999893,45.11999893,2.109999895,94.84999847,218.6708333
13.5,16.4,11.3,1015.3,94,1.6,7.6,0.25,13.97000027,68.48000336,5.980000019,72.95999908,47.825
12.7,18.9,7.3,1021.2,76,1.8,6.1,0.170000002,28.97999954,48.29000092,7.730000019,137.6999969,108
11.9,18.9,6.3,1020.1,76,1.1,8.3,0.25999999,44.77000046,56.63999939,3.049999952,92.98999786,107.625
12.2,19.9,6.2,1021,69,2.1,4.4,0.289999992,34.06999969,56.27999878,7.519999981,107.1999969,125.8916667
11.9,20.4,4.8,1021.2,68,1.6,4.4,0.330000013,43.20999908,51.09999847,10.56999969,88.01000214,179.3083333
12.1,20.4,4.4,1020.9,70,1.3,3,0.810000002,53.47999954,46.65000153,10.19999981,92.16000366,239.85
12.4,20.5,5.6,1020.5,71,1.3,4.6,0.180000007,16.29000092,65.38999939,7.25,59.66999817,220.1916667
13.4,21.1,5.6,1020,60,1.9,8,0.430000007,27.19000053,56.99000168,10.84000015,114.3000031,181.0125
12.3,21.4,6.4,1019.6,70,1.9,6.7,0.200000003,46.88999939,43.95000076,19.81999969,75.73999786,152.5541667
13.7,22,7,1018.2,63,1.8,7.2,0.340000004,40.75,51.58000183,7.96999979,102.1999969,152.3208333
13.3,22.3,6.7,1018,65,1.4,2.8,0.419999987,65.76000214,27.93000031,7.150000095,69.75,171.4291667
14,23.3,6.7,1016.8,68,1.3,3.1,0.059999999,29.70999908,56.52000046,6.900000095,56.29000092,251.375
14.7,24.4,6.2,1018,72,1,0.9,0.270000011,55.77999878,40.50999832,7.519999981,73.87999725,251.8291667
14.9,21.9,7.1,1018.3,73,0.6,2,0.330000013,64.11000061,45.22999954,6.409999847,47.50999832,319.7375
15,24,7.6,1017.4,81,0.6,2.2,0.300000012,18.85000038,68.12000275,8.970000267,58.77000046,332.7083333
16.3,24,12,1017.2,80,0.8,1.3,0.419999987,56.59999847,43.54000092,5.360000134,72.48999786,279.6
18.7,26.3,9.5,1015.3,64,1.6,1.7,0.230000004,31.27000046,73.16000366,5.449999809,69.66999817,179.1166667
17.5,19.3,15,1014.5,79,1.6,10.4,0.579999983,83.76000214,18.97999954,11.02000046,71.37000275,166.3
16.7,19.3,13.5,1016.3,94,1.1,9.6,0.300000012,30.51000023,64.94000244,10.97999954,67.19999695,78.25416667
16.3,21.6,12.4,1018.6,79,2.1,8.3,0.07,17.93000031,49.38999939,3.440000057,69.06999969,54
14.6,21.6,9.4,1018.4,72,2.7,9.4,0.280000001,32.97000122,59.06000137,14.14000034,64.08999634,54
14.7,21.7,8.4,1017.1,71,1.8,10.9,0.109999999,23.71999931,66.81999969,3.869999886,76.94999695,93
14.8,22.6,8.5,1016.8,67,2.1,9.3,0.330000013,40.18000031,63.47000122,6.46999979,77.44999695,103
15.2,23.7,7.1,1017.1,73,1.1,3.5,0.180000007,25.05999947,50.43999863,1.850000024,71.08999634,211
15.7,23.8,8.5,1016.4,71,1.6,5.4,0.230000004,24.63999939,69.93000031,5.840000153,58.20999908,192
15.9,23.8,9.5,1017.3,71,1.6,7.6,0.140000001,26.95999908,49.31000137,7.639999866,91.43000031,152
17.4,25.4,10.3,1015.8,63,1.9,6.7,0.200000003,41.65999985,59.08000183,2.819999933,65.94000244,132
18.1,26.7,10.2,1013.8,61,2.6,5,0.230000004,30.56999969,60.79999924,7.760000229,59.75999832,127
18.3,23.2,12.7,1011.2,75,1.9,10,0.280000001,36.02999878,57.04000092,10.43999958,53.91999817,109.3333333
16.4,22,11.2,1015.5,81,1.6,5.9,0.889999986,57.93999863,41.84000015,7.869999886,60.09999847,56.45833333
16.9,23.5,10.1,1016.8,80,1.3,5.2,0.200000003,22.32999992,61.27999878,7.199999809,45.49000168,135
19.3,26.9,12.1,1015.6,74,1.6,5.9,0.50999999,36.97999954,46.93999863,11.01000023,78.94999695,122
20.4,27.1,15,1016.1,71,1.4,10.9,0.189999998,51.90999985,42.84000015,21.05999947,50.61000061,119
17.2,22.6,12.8,1017,81,1.6,8.1,0.289999992,39.36000061,52.91999817,7.869999886,66.33000183,67
17,23.3,10.7,1019.1,80,2.6,7.8,0.319999993,61.09000015,32.06999969,6.260000229,56.22000122,46
17.2,24.2,10.8,1018.3,74,2.6,4.6,0.02,22.75,64.05999756,6.590000153,36.65000153,69
